ODI_Rank,Player,ODI_Matches,ODI_Innings,ODI_Average,ODI_Strike_Rate,ODI_Highest_Score,ODI_Fours,ODI_Sixes,ODI_Fifties,ODI_Hundreds,ODI_Runs
89,Sandra Braganza,20,11,6.28,-,11,-,-,-,-,44
90,Kranti Gaud,17,9,8.8,70.96,19,5,-,-,-,44
91,Shobha Pandit,3,3,14.0,-,21,-,-,-,-,42
92,Lopamudra Bhattacharj,15,12,4.44,-,14,-,-,-,-,40
93,Archana Das,11,6,11.66,55.55,17,-,1,-,-,35
94,Meghna Singh,17,8,11.0,67.34,12,4,-,-,-,33
95,Ujwala Vasudev Nikam,2,2,15.5,-,31,-,-,-,-,31
96,Runa Basu,6,5,13.0,-,10,-,-,-,-,26
97,Madhuri Mehta,2,2,12.5,39.06,23,1,-,-,-,25
98,Sunita Singh,18,7,4.0,43.63,12,1,-,-,-,24
99,Kalyani Dhokarikar,8,6,4.8,28.23,11,1,-,-,-,24
100,Preeti Dimri,23,5,11.5,74.19,12,2,1,-,-,23
101,Sharmila Chakraborty,14,8,11.5,-,14,-,-,-,-,23
102,Kalpan Paropkari,3,3,7.66,-,13,-,-,-,-,23
103,Shree Charani,21,8,3.66,64.7,11,-,2,-,-,22
104,Shyama Shaw,5,3,7.33,66.66,11,2,-,-,-,22
105,Rajeshwari Gayakwad,64,20,2.33,23.59,5,1,-,-,-,21
106,Renuka Thakur,29,16,2.33,37.5,8,2,-,-,-,21
107,Mansi Joshi,14,4,6.66,62.5,12,2,-,-,-,20
108,Purnima Choudhary,5,4,20.0,66.66,11,1,-,-,-,20
109,Sujata Sridhar,6,6,3.8,-,14,-,-,-,-,19
110,Neeta Kadam,2,1,17.0,-,17,-,-,-,-,17
111,Varsha Raffel,9,4,4.0,41.02,7,-,-,-,-,16
112,Rishijae Mudgel,6,4,3.75,18.51,15,-,-,-,-,15
113,Susan Itticheria,2,2,14.0,-,8,-,-,-,-,14
114,Laya Francis,11,5,2.6,-,6,-,-,-,-,13
115,Snehal Pradhan,6,3,13.0,40.62,6,1,-,-,-,13
116,Monica Patel,2,2,6.5,37.14,9,1,-,-,-,13
117,Manimala Singhal,6,4,3.0,-,5,-,-,-,-,12
118,Shubhlakshmi Sharma,10,5,2.2,35.48,4,1,-,-,-,11
119,Seema Pujare,8,2,5.0,45.45,5,1,-,-,-,10
120,Vaishnavi Sharma,1,1,0.0,200,10,2,-,-,-,10
121,Titas Sadhu,8,3,3.0,37.5,4,-,-,-,-,9
122,Shreyanka Patil,3,2,7.0,58.33,5,1,-,-,-,7
123,Sreerupa Bose,2,1,7.0,-,7,-,-,-,-,7
124,Priya Mishra,9,4,3.0,20,5,-,-,-,-,6
125,Babita Mandlik,3,3,3.0,18.75,5,-,-,-,-,6
126,Ravi Kalpana,7,3,2.0,16,3,-,-,-,-,4
127,Shilpa Gupta,1,1,4.0,40,4,-,-,-,-,4
128,Sneha Deepthi,1,1,4.0,44.44,4,1,-,-,-,4
129,Sandhya Mazumdar,1,1,4.0,-,4,-,-,-,-,4
130,Rajeshwari Goyal,5,2,2.0,100,2,-,-,-,-,2
131,Sravanthi Naidu,4,2,1.0,33.33,2,-,-,-,-,2
132,Ritu Dhrub,3,1,2.0,15.38,2,-,-,-,-,2
133,Sayali Satghare,3,1,0.0,66.66,2,-,-,-,-,2
134,Challuru Prathyusha,1,1,2.0,66.66,2,-,-,-,-,2
135,Bareddy Anusha,1,1,2.0,40,2,-,-,-,-,2
136,Bindeshwari Goyal,4,1,0.0,25,1,-,-,-,-,1
137,Samantha Lobatto,3,2,0.0,12.5,1,-,-,-,-,1
138,Anjali Sharma,3,3,0.33,-,1,-,-,-,-,1
139,Rita Patel,1,1,1.0,-,1,-,-,-,-,1
140,Manju Nadgoda,1,1,1.0,7.69,1,-,-,-,-,1
