Player,Test_Rank,Test_Matches,Test_Innings,Test_Average,Test_Strike_Rate,Test_Highest_Score,Test_Fours,Test_Sixes,Test_Fifties,Test_Hundreds,Test_Runs,ODI_Rank,ODI_Matches,ODI_Innings,ODI_Average,ODI_Strike_Rate,ODI_Highest_Score,ODI_Fours,ODI_Sixes,ODI_Fifties,ODI_Hundreds,ODI_Runs,T20I_Rank,T20I_Matches,T20I_Innings,T20I_Average,T20I_Strike_Rate,T20I_Highest_Score,T20I_Fours,T20I_Sixes,T20I_Fifties,T20I_Hundreds,T20I_Runs,Gender
Mohammed Siraj,106.0,46.0,62.0,4.88,37.84,22,20,3,-,-,176.0,142.0,50.0,21.0,7.12,42.53,9.0,3,-,-,-,57.0,68.0,17.0,4.0,7.0,87.5,7.0,1,-,-,-,14.0,Male
Mohinder Amarnath,15.0,69.0,113.0,42.5,85.52,138,330,21,24,11,4378.0,29.0,85.0,75.0,30.53,57.7,102.0,123,9,13,2,1924.0,,,,,,,,,,,,Male
Mohit Sharma,,,,,,,,,,,,171.0,26.0,9.0,7.75,46.96,11.0,5,-,-,-,31.0,89.0,8.0,2.0,0.0,42.85,3.0,-,-,-,-,3.0,Male
Mukesh Kumar,,,,,,,,,,,,195.0,6.0,2.0,10.0,62.5,6.0,2,-,-,-,10.0,82.0,17.0,4.0,5.0,100.0,4.0,1,-,-,-,5.0,Male
Munaf Patel,140.0,13.0,14.0,7.5,42.25,15,8,1,-,-,60.0,136.0,70.0,27.0,6.72,66.07,15.0,7,1,-,-,74.0,,,,,,,,,,,,Male
Murali Kartik,132.0,8.0,10.0,9.77,38.09,43,11,-,-,-,88.0,112.0,37.0,14.0,14.0,70.78,32.0,10,1,-,-,126.0,,,,,,,,,,,,Male
Murali Vijay,20.0,61.0,105.0,38.28,46.29,167,467,33,15,12,3982.0,73.0,17.0,16.0,21.18,66.99,72.0,33,3,1,-,339.0,34.0,9.0,9.0,18.77,109.74,48.0,13,8,-,-,169.0,Male
N. Tilak Varma,,,,,,,,,,,,140.0,5.0,4.0,22.66,57.14,52.0,6,1,1,-,68.0,10.0,53.0,50.0,44.14,143.49,120.0,117,75,7,2,1501.0,Male
Naman Ojha,142.0,1.0,2.0,28.0,47.86,35,7,-,-,-,56.0,239.0,1.0,1.0,1.0,14.28,1.0,-,-,-,-,1.0,74.0,2.0,2.0,6.0,44.44,10.0,2,-,-,-,12.0,Male
Narendra Hirwani,144.0,17.0,22.0,5.4,40.91,17,6,-,-,-,54.0,202.0,18.0,7.0,2.0,27.58,4.0,-,-,-,-,8.0,,,,,,,,,,,,Male
Navdeep Saini,175.0,2.0,3.0,4.0,29.62,5,1,-,-,-,8.0,121.0,8.0,5.0,53.5,78.1,45.0,9,3,-,-,107.0,72.0,11.0,3.0,0.0,109.09,11.0,2,-,-,-,12.0,Male
Navjot Sidhu,24.0,51.0,78.0,42.13,44.88,201,358,38,15,9,3202.0,14.0,136.0,127.0,37.08,69.72,134.0,335,44,33,6,4413.0,,,,,,,,,,,,Male
Nayan Mongia,43.0,44.0,68.0,24.03,38.53,152,159,5,6,1,1442.0,36.0,140.0,96.0,20.19,68.94,69.0,95,8,2,-,1272.0,,,,,,,,,,,,Male
Nikhil Chopra,180.0,1.0,2.0,3.5,10.00,4,-,-,-,-,7.0,75.0,39.0,26.0,15.5,62.24,61.0,15,5,1,-,310.0,,,,,,,,,,,,Male
Nilesh Kulkarni,185.0,3.0,2.0,5.0,11.90,4,-,-,-,-,5.0,192.0,10.0,5.0,5.5,55.0,5.0,-,-,-,-,11.0,,,,,,,,,,,,Male
Nitish Kumar Reddy,87.0,10.0,16.0,26.4,57.3,114,40,10,-,1,396.0,123.0,6.0,4.0,33.33,101.01,53.0,3,5,1,-,100.0,42.0,4.0,3.0,45.0,180.0,74.0,4,8,1,-,90.0,Male
Nitish Rana,,,,,,,,,,,,210.0,1.0,1.0,7.0,50.0,7.0,-,-,-,-,7.0,66.0,2.0,2.0,7.5,55.55,9.0,-,-,-,-,15.0,Male
Noel David,,,,,,,,,,,,201.0,4.0,2.0,0.0,90.0,8.0,-,-,-,-,9.0,,,,,,,,,,,,Male
Pankaj Dharmani,,,,,,,,,,,,207.0,1.0,1.0,8.0,100.0,8.0,-,-,-,-,8.0,,,,,,,,,,,,Male
Pankaj Singh,172.0,2.0,4.0,3.33,50.00,9,2,-,-,-,10.0,227.0,1.0,1.0,0.0,100.0,3.0,-,-,-,-,3.0,,,,,,,,,,,,Male
Paras Mhambrey,141.0,2.0,3.0,29.0,52.25,28,8,-,-,-,58.0,209.0,3.0,1.0,0.0,140.0,7.0,1,-,-,-,7.0,,,,,,,,,,,,Male
Parthasarthi Sharma,105.0,5.0,10.0,18.7,76.33,54,21,2,1,-,187.0,183.0,2.0,2.0,10.0,51.28,14.0,-,-,-,-,20.0,,,,,,,,,,,,Male
Parthiv Patel,59.0,25.0,38.0,31.13,48.46,71,126,1,6,-,934.0,53.0,38.0,34.0,23.74,76.5,95.0,79,7,4,-,736.0,55.0,2.0,2.0,18.0,112.5,26.0,4,1,-,-,36.0,Male
Parvez Rasool,,,,,,,,,,,,,,,,,,,,,,,86.0,1.0,1.0,5.0,83.33,5.0,-,-,-,-,5.0,Male
Piyush Chawla,182.0,3.0,3.0,2.0,26.08,4,1,-,-,-,6.0,164.0,25.0,12.0,5.42,65.51,13.0,3,-,-,-,38.0,,,,,,,,,,,,Male
Pochiah Krishnamurthy,154.0,5.0,6.0,5.5,-,20,1,-,-,-,33.0,215.0,1.0,1.0,6.0,46.15,6.0,-,-,-,-,6.0,,,,,,,,,,,,Male
Pragyan Ojha,131.0,24.0,27.0,8.9,18.08,18,6,-,-,-,89.0,155.0,18.0,10.0,23.0,41.07,16.0,3,-,-,-,46.0,75.0,6.0,1.0,0.0,166.66,10.0,-,1,-,-,10.0,Male
Pranab Roy,137.0,2.0,3.0,35.5,30.86,60,11,-,1,-,71.0,,,,,,,,,,,,,,,,,,,,,,,Male
Prashant Sridhar Vaidya,,,,,,,,,,,,187.0,4.0,2.0,7.5,125.0,12.0,2,-,-,-,15.0,,,,,,,,,,,,Male
Prasidh Krishna,171.0,7.0,10.0,2.0,15.38,5,-,-,-,-,10.0,228.0,25.0,7.0,1.0,11.76,2.0,-,-,-,-,2.0,92.0,6.0,1.0,0.0,50.0,1.0,-,-,-,-,1.0,Male
Praveen Kumar,112.0,6.0,10.0,14.9,93.71,40,21,5,-,-,149.0,76.0,68.0,33.0,13.9,88.21,54.0,25,7,1,-,292.0,78.0,10.0,3.0,2.33,43.75,6.0,-,-,-,-,7.0,Male
Pravin Amre,84.0,11.0,13.0,42.5,37.74,103,44,3,3,1,425.0,62.0,37.0,30.0,20.52,64.2,84.0,28,2,2,-,513.0,,,,,,,,,,,,Male
Prince Yadav,,,,,,,,,,,,217.0,2.0,1.0,5.0,100.0,5.0,-,-,-,-,5.0,81.0,1.0,1.0,0.0,600.0,6.0,-,1,-,-,6.0,Male
Prithvi Shaw,93.0,5.0,9.0,42.37,86.04,134,48,2,2,1,339.0,95.0,6.0,6.0,31.5,113.85,49.0,32,2,-,-,189.0,,,,,,,,,,,,Male
RP Singh,120.0,14.0,19.0,7.25,42.02,30,16,1,-,-,116.0,122.0,58.0,20.0,10.4,42.97,23.0,5,1,-,-,104.0,88.0,10.0,2.0,0.0,100.0,2.0,-,-,-,-,3.0,Male
Raghuram Bhat,111.0,2.0,2.0,37.75,109.50,-,-,-,-,-,151.0,,,,,,,,,,,,,,,,,,,,,,,Male
Rahul Chahar,,,,,,,,,,,,189.0,1.0,1.0,13.0,52.0,13.0,-,-,-,-,13.0,84.0,6.0,1.0,5.0,100.0,5.0,1,-,-,-,5.0,Male
Rahul Dravid,2.0,164.0,286.0,52.31,42.51,270,1655,21,63,36,13288.0,5.0,344.0,318.0,39.16,71.23,153.0,950,42,83,12,10889.0,57.0,1.0,1.0,31.0,147.61,31.0,-,3,-,-,31.0,Male
Rahul Sanghvi,191.0,1.0,2.0,1.0,9.09,2,-,-,-,-,2.0,203.0,10.0,2.0,4.0,72.72,8.0,-,1,-,-,8.0,,,,,,,,,,,,Male
Rahul Sharma,,,,,,,,,,,,236.0,4.0,1.0,1.0,50.0,1.0,-,-,-,-,1.0,,,,,,,,,,,,Male
Rahul Tripathi,,,,,,,,,,,,,,,,,,,,,,,40.0,5.0,5.0,19.4,144.77,44.0,11,5,-,-,97.0,Male
Rajesh Chauhan,126.0,21.0,17.0,7.0,28.16,23,10,3,-,-,98.0,108.0,35.0,18.0,10.15,77.19,32.0,5,4,-,-,132.0,,,,,,,,,,,,Male
Rajinder Singh Ghai,,,,,,,,,,,,235.0,6.0,1.0,1.0,33.33,1.0,-,-,-,-,1.0,,,,,,,,,,,,Male
Raju Kulkarni,189.0,3.0,2.0,1.0,-,2,-,-,-,-,2.0,168.0,10.0,5.0,16.5,84.61,15.0,3,-,-,-,33.0,,,,,,,,,,,,Male
Raman Lamba,124.0,4.0,5.0,20.39,68.92,53,5,-,1,-,102.0,51.0,32.0,31.0,27.0,67.15,102.0,63,9,6,1,783.0,,,,,,,,,,,,Male
Ramandeep Singh,,,,,,,,,,,,,,,,,,,,,,,67.0,2.0,1.0,15.0,250.0,15.0,1,1,-,-,15.0,Male
Ramchandra Sudhakar Rao,,,,,,,,,,,,223.0,1.0,1.0,4.0,28.57,4.0,-,-,-,-,4.0,,,,,,,,,,,,Male
Ramesh Powar,168.0,2.0,2.0,6.5,72.22,7,2,-,-,-,13.0,99.0,31.0,19.0,11.64,62.69,54.0,12,2,1,-,163.0,,,,,,,,,,,,Male
Ramesh Saxena,163.0,1.0,2.0,12.5,29.06,16,3,-,-,-,25.0,,,,,,,,,,,,,,,,,,,,,,,Male
Ramnath Parkar,133.0,2.0,4.0,20.0,34.48,35,10,-,-,-,80.0,,,,,,,,,,,,,,,,,,,,,,,Male
Ravi Bishnoi,,,,,,,,,,,,222.0,1.0,1.0,0.0,200.0,4.0,1,-,-,-,4.0,48.0,46.0,14.0,9.28,125.0,10.0,9,1,-,-,65.0,Male
Ravi Shastri,21.0,80.0,121.0,35.79,48.22,206,317,22,12,11,3830.0,20.0,150.0,128.0,29.04,61.07,109.0,206,25,18,4,3108.0,,,,,,,,,,,,Male
Ravichandran Ashwin,23.0,106.0,151.0,25.75,54.53,124,399,23,14,6,3503.0,54.0,116.0,63.0,16.44,86.96,65.0,60,7,1,-,707.0,32.0,65.0,19.0,26.28,114.99,31.0,17,4,-,-,184.0,Male
Ravindra Jadeja,19.0,89.0,133.0,38.27,55.42,175,398,82,28,6,4095.0,24.0,210.0,142.0,32.27,85.54,87.0,210,55,13,-,2905.0,25.0,74.0,41.0,21.45,127.16,46.0,39,14,-,-,515.0,Male
Reetinder Sodhi,,,,,,,,,,,,80.0,18.0,14.0,25.45,73.49,67.0,16,6,2,-,280.0,,,,,,,,,,,,Male
Rinku Singh,,,,,,,,,,,,143.0,2.0,2.0,27.5,134.14,38.0,5,3,-,-,55.0,23.0,45.0,33.0,39.11,155.73,69.0,55,38,3,-,665.0,Male
Rishabh Pant,22.0,50.0,87.0,43.37,74.05,159,378,97,19,8,3557.0,46.0,31.0,27.0,33.5,106.21,125.0,91,26,5,1,871.0,13.0,76.0,66.0,23.25,127.26,65.0,111,44,3,-,1209.0,Male
Rishi Dhawan,,,,,,,,,,,,190.0,3.0,2.0,12.0,92.3,9.0,1,-,-,-,12.0,96.0,1.0,1.0,0.0,50.0,1.0,-,-,-,-,1.0,Male
Robin Uthappa,,,,,,,,,,,,43.0,46.0,42.0,25.94,90.59,86.0,107,19,6,-,934.0,30.0,13.0,12.0,24.9,118.0,50.0,26,6,1,-,249.0,Male
Roger Binny,62.0,27.0,41.0,23.05,68.54,83,64,5,5,-,830.0,56.0,72.0,49.0,16.12,60.13,57.0,51,1,1,-,629.0,,,,,,,,,,,,Male
Rohan Gavaskar,,,,,,,,,,,,104.0,11.0,10.0,18.87,64.52,54.0,8,2,1,-,151.0,,,,,,,,,,,,Male
Rohit Sharma,16.0,67.0,116.0,40.57,57.05,212,473,88,18,12,4301.0,3.0,285.0,277.0,48.83,92.97,264.0,1107,363,62,33,11720.0,1.0,159.0,151.0,32.05,140.89,121.0,383,205,32,5,4231.0,Male
