Player,Test_Rank,Test_Matches,Test_Innings,Test_Average,Test_Strike_Rate,Test_Highest_Score,Test_Fours,Test_Sixes,Test_Fifties,Test_Hundreds,Test_Runs,ODI_Rank,ODI_Matches,ODI_Innings,ODI_Average,ODI_Strike_Rate,ODI_Highest_Score,ODI_Fours,ODI_Sixes,ODI_Fifties,ODI_Hundreds,ODI_Runs,T20I_Rank,T20I_Matches,T20I_Innings,T20I_Average,T20I_Strike_Rate,T20I_Highest_Score,T20I_Fours,T20I_Sixes,T20I_Fifties,T20I_Hundreds,T20I_Runs,Gender
Sreesanth,95.0,27.0,40.0,10.4,52.13,35,38,4,-,-,281.0,157.0,53.0,21.0,4.0,36.36,10.0,2,-,-,-,44.0,63.0,10.0,3.0,20.0,142.85,19.0,4,-,-,-,20.0,Male
Sridharan Sriram,,,,,,,,,,,,132.0,8.0,7.0,13.5,60.0,57.0,9,-,1,-,81.0,,,,,,,,,,,,Male
Srinivas Venkataraghavan,67.0,57.0,76.0,11.68,120.65,64,49,3,2,-,748.0,145.0,15.0,9.0,10.8,42.85,26.0,3,-,-,-,54.0,,,,,,,,,,,,Male
Stuart Binny,104.0,6.0,10.0,21.55,58.25,78,23,1,1,-,194.0,85.0,14.0,11.0,28.75,93.49,77.0,23,5,1,-,230.0,56.0,3.0,2.0,17.5,120.68,24.0,2,1,-,-,35.0,Male
Subroto Banerjee,188.0,1.0,1.0,3.0,42.85,3,-,-,-,-,3.0,152.0,6.0,5.0,24.5,116.66,25.0,2,1,-,-,49.0,,,,,,,,,,,,Male
Sudeep Tyagi,,,,,,,,,,,,237.0,4.0,1.0,0.0,50.0,1.0,-,-,-,-,1.0,,,,,,,,,,,,Male
Sudhir Sakharam Naik,114.0,3.0,6.0,23.5,76.22,77,17,-,1,-,141.0,165.0,2.0,2.0,19.0,55.88,20.0,3,-,-,-,38.0,,,,,,,,,,,,Male
Sujith Somasunder,,,,,,,,,,,,186.0,2.0,2.0,8.0,25.39,9.0,1,-,-,-,16.0,,,,,,,,,,,,Male
Sunil Gavaskar,3.0,125.0,214.0,51.12,66.04,236,1016,26,45,34,10122.0,21.0,108.0,102.0,35.13,62.26,103.0,234,21,27,1,3092.0,,,,,,,,,,,,Male
Sunil Joshi,90.0,15.0,19.0,20.7,42.20,92,36,4,1,-,352.0,58.0,69.0,45.0,17.17,89.43,61.0,47,17,1,-,584.0,,,,,,,,,,,,Male
Suresh Raina,65.0,18.0,31.0,26.48,53.14,120,100,4,7,1,768.0,11.0,226.0,194.0,35.31,93.5,116.0,476,120,36,5,5615.0,8.0,78.0,66.0,29.18,134.87,101.0,145,58,5,1,1605.0,Male
Surinder Amarnath,77.0,10.0,18.0,30.55,-,124,42,1,3,1,550.0,124.0,3.0,3.0,33.33,84.03,62.0,4,-,1,-,100.0,,,,,,,,,,,,Male
Surinder Khanna,,,,,,,,,,,,97.0,10.0,10.0,22.0,66.41,56.0,16,2,2,-,176.0,,,,,,,,,,,,Male
Suru Nayak,164.0,2.0,3.0,9.5,38.77,11,3,-,-,-,19.0,224.0,4.0,1.0,3.0,15.78,3.0,-,-,-,-,3.0,,,,,,,,,,,,Male
Surya Kumar Yadav,177.0,1.0,1.0,8.0,40,8,1,-,-,-,8.0,52.0,37.0,35.0,25.76,105.02,72.0,80,19,4,-,773.0,3.0,113.0,107.0,36.35,162.94,117.0,297,179,25,4,3272.0,Male
Suryansh Shedge,,,,,,,,,,,,,,,,,,,,,,,95.0,1.0,1.0,1.0,20.0,1.0,-,-,-,-,1.0,Male
Syed Abid Ali,54.0,29.0,53.0,20.36,108.76,81,84,-,6,-,1018.0,125.0,5.0,3.0,31.0,70.45,70.0,6,1,1,-,93.0,,,,,,,,,,,,Male
Syed Khaleel Ahmed,,,,,,,,,,,,199.0,11.0,3.0,4.5,52.94,5.0,1,-,-,-,9.0,91.0,18.0,2.0,0.0,50.0,1.0,-,-,-,-,1.0,Male
Syed Kirmani,26.0,88.0,124.0,26.79,62.39,102,246,3,12,2,2759.0,70.0,49.0,31.0,20.72,60.55,48.0,24,-,-,-,373.0,,,,,,,,,,,,Male
T. Natarajan,193.0,1.0,1.0,0.0,11.11,1,-,-,-,-,1.0,,,,,,,,,,,,,,,,,,,,,,,Male
Thirunavukkarasu Kumaran,,,,,,,,,,,,184.0,8.0,3.0,6.33,70.37,8.0,2,-,-,-,19.0,,,,,,,,,,,,Male
Tinu Yohannan,167.0,3.0,4.0,0.0,43.33,8,1,-,-,-,13.0,208.0,3.0,2.0,0.0,63.63,5.0,-,-,-,-,7.0,,,,,,,,,,,,Male
Tirumalai Srinivasan,147.0,1.0,2.0,24.0,25.80,29,6,-,-,-,48.0,197.0,2.0,2.0,5.0,28.57,6.0,-,-,-,-,10.0,,,,,,,,,,,,Male
Umesh Yadav,81.0,57.0,68.0,11.21,52.09,31,42,24,-,-,460.0,133.0,75.0,24.0,7.9,58.95,18.0,8,1,-,-,79.0,62.0,9.0,2.0,22.0,104.76,20.0,2,-,-,-,22.0,Male
Umran Malik,,,,,,,,,,,,229.0,10.0,4.0,2.0,18.18,2.0,-,-,-,-,2.0,83.0,8.0,2.0,0.0,250.0,4.0,1,-,-,-,5.0,Male
Utpal Subodh Chatterjee,,,,,,,,,,,,213.0,3.0,2.0,6.0,20.0,3.0,-,-,-,-,6.0,,,,,,,,,,,,Male
VVS Laxman,5.0,134.0,225.0,45.97,49.37,281,1135,5,56,17,8781.0,27.0,86.0,83.0,30.76,71.23,131.0,222,4,10,6,2338.0,,,,,,,,,,,,Male
Vaibhav Sooryavanshi,,,,,,,,,,,,,,,,,,,,,,,69.0,1.0,1.0,14.0,140.0,14.0,-,2,-,-,14.0,Male
Vakkadai Biksheswaran Chandrasekhar,,,,,,,,,,,,128.0,7.0,7.0,12.57,54.32,53.0,11,-,1,-,88.0,,,,,,,,,,,,Male
Varun Aaron,153.0,9.0,14.0,3.88,31.81,9,4,-,-,-,35.0,204.0,9.0,3.0,8.0,53.33,6.0,1,-,-,-,8.0,,,,,,,,,,,,Male
Varun Chakaravarthy,,,,,,,,,,,,,,,,,,,,,,,87.0,46.0,10.0,0.75,20.0,1.0,-,-,-,-,3.0,Male
Venkatapathy Raju,98.0,28.0,34.0,10.0,31.75,31,12,-,-,-,240.0,170.0,53.0,16.0,4.0,47.76,8.0,1,-,-,-,32.0,,,,,,,,,,,,Male
Venkatesh Iyer,,,,,,,,,,,,177.0,2.0,2.0,12.0,60.0,22.0,-,1,-,-,24.0,35.0,9.0,7.0,33.25,162.19,35.0,15,5,-,-,133.0,Male
Venkatesh Prasad,103.0,33.0,47.0,7.51,28.87,30,11,-,-,-,203.0,89.0,161.0,63.0,6.9,60.21,19.0,7,5,-,-,221.0,,,,,,,,,,,,Male
Venugopal Rao,,,,,,,,,,,,90.0,16.0,11.0,24.22,60.05,61.0,16,3,1,-,218.0,,,,,,,,,,,,Male
Vijay Bharadwaj,159.0,3.0,3.0,9.33,19.31,22,2,-,-,-,28.0,107.0,10.0,9.0,27.2,70.1,41.0,15,1,-,-,136.0,,,,,,,,,,,,Male
Vijay Dahiya,190.0,2.0,1.0,0.0,40.00,2,-,-,-,-,2.0,91.0,19.0,15.0,16.61,80.89,51.0,18,3,1,-,216.0,,,,,,,,,,,,Male
Vijay Shankar,,,,,,,,,,,,88.0,12.0,8.0,31.85,90.65,46.0,20,4,-,-,223.0,39.0,9.0,4.0,25.25,138.35,43.0,11,5,-,-,101.0,Male
Vijay Yadav,157.0,1.0,1.0,30.0,120.00,30,3,2,-,-,30.0,116.0,19.0,12.0,11.8,101.72,34.0,7,2,-,-,118.0,,,,,,,,,,,,Male
Vikram Rathour,116.0,6.0,10.0,13.1,34.20,44,13,-,-,-,131.0,94.0,7.0,7.0,27.57,58.3,54.0,16,1,2,-,193.0,,,,,,,,,,,,Male
Vikram Singh,148.0,5.0,6.0,11.75,111.90,29,9,-,-,-,47.0,205.0,2.0,1.0,8.0,61.53,8.0,1,-,-,-,8.0,,,,,,,,,,,,Male
Vinay Kumar,170.0,1.0,2.0,5.5,45.83,6,2,-,-,-,11.0,129.0,31.0,13.0,9.55,58.9,27.0,5,2,-,-,86.0,90.0,9.0,1.0,0.0,50.0,2.0,-,-,-,-,2.0,Male
Vinod Kambli,50.0,17.0,21.0,54.2,59.66,227,124,6,3,4,1084.0,26.0,104.0,97.0,32.59,71.94,106.0,187,20,14,2,2477.0,,,,,,,,,,,,Male
Virat Kohli,4.0,123.0,210.0,46.85,55.57,254,1027,30,31,30,9230.0,2.0,311.0,299.0,58.71,93.82,183.0,1376,168,77,54,14797.0,2.0,125.0,117.0,48.69,137.04,122.0,369,124,38,1,4188.0,Male
Virender Sehwag,6.0,104.0,180.0,49.34,82.23,319,1233,91,32,23,8586.0,9.0,251.0,245.0,35.05,104.33,219.0,1132,136,38,15,8273.0,26.0,19.0,18.0,21.88,145.38,68.0,43,16,2,-,394.0,Male
Vivek Razdan,183.0,2.0,2.0,6.0,60.00,6,1,-,-,-,6.0,180.0,3.0,3.0,11.5,85.18,18.0,3,-,-,-,23.0,,,,,,,,,,,,Male
Washington Sundar,58.0,18.0,30.0,44.61,46.89,101,80,20,6,1,937.0,69.0,32.0,21.0,20.57,83.01,51.0,26,11,1,-,391.0,29.0,61.0,26.0,16.11,129.24,50.0,21,14,1,-,274.0,Male
Wasim Jaffer,37.0,31.0,58.0,34.1,48.05,212,272,3,11,5,1944.0,196.0,2.0,2.0,5.0,43.47,10.0,2,-,-,-,10.0,,,,,,,,,,,,Male
Woorkeri Raman,82.0,11.0,19.0,24.88,37.86,96,55,1,4,-,448.0,57.0,27.0,27.0,23.73,55.63,114.0,47,5,3,1,617.0,,,,,,,,,,,,Male
Wriddhiman Saha,45.0,40.0,56.0,29.41,45.50,117,129,14,6,3,1353.0,162.0,9.0,5.0,13.66,73.21,16.0,5,-,-,-,41.0,,,,,,,,,,,,Male
Yajurvindra Singh,121.0,4.0,7.0,18.16,30.70,43,9,-,-,-,109.0,,,,,,,,,,,,,,,,,,,,,,,Male
Yashasvi Jaiswal,28.0,29.0,54.0,48.75,66.1,214,317,45,13,7,2535.0,79.0,6.0,6.0,71.25,97.6,116.0,34,7,-,2,285.0,20.0,23.0,22.0,36.15,164.31,100.0,82,38,5,1,723.0,Male
Yashpal Sharma,39.0,37.0,59.0,33.46,44.39,140,140,7,9,2,1606.0,45.0,42.0,40.0,28.48,63.02,89.0,-,-,4,-,883.0,,,,,,,,,,,,Male
Yograj Singh,173.0,1.0,2.0,5.0,20.00,6,1,-,-,-,10.0,234.0,6.0,4.0,0.5,8.33,1.0,-,-,-,-,1.0,,,,,,,,,,,,Male
Yusuf Pathan,,,,,,,,,,,,49.0,57.0,41.0,27.0,113.6,123.0,62,43,3,2,810.0,31.0,22.0,18.0,18.15,146.58,37.0,11,17,-,-,236.0,Male
Yuvraj Singh,38.0,40.0,62.0,33.92,57.97,169,260,22,11,3,1900.0,8.0,304.0,278.0,36.55,87.67,150.0,908,155,52,14,8701.0,15.0,58.0,51.0,28.02,136.38,77.0,77,74,8,-,1177.0,Male
Yuzvendra Chahal,,,,,,,,,,,,135.0,72.0,14.0,8.55,54.6,18.0,8,-,-,-,77.0,79.0,80.0,6.0,3.0,46.15,3.0,-,-,-,-,6.0,Male
Zaheer Khan,48.0,92.0,127.0,11.95,51.70,75,141,28,3,-,1230.0,50.0,200.0,101.0,12.0,73.46,34.0,69,24,-,-,792.0,70.0,17.0,4.0,6.5,130.0,9.0,-,1,-,-,13.0,Male
Amanjot Kaur,,,,,,,,,,,,46.0,17.0,17.0,21.41,77.17,57.0,24,1,1,-,257.0,22.0,23.0,14.0,23.62,127.7,63.0,25,1,1,-,189.0,Female
Amita Sharma,43.0,5.0,7.0,13.66,43.85,50.0,14,-,1,-,82.0,17.0,116.0,73.0,16.83,68.59,51.0,95,7,1,-,926.0,13.0,41.0,34.0,14.73,-,55.0,-,-,1,-,383.0,Female
Amrita Pratapsinh Shinde,66.0,1.0,1.0,29.0,-,29.0,-,-,-,-,29.0,69.0,5.0,5.0,23.25,55.35,78.0,13,-,1,-,93.0,,,,,,,,,,,,Female
Anagha Deshpande,,,,,,,,,,,,30.0,23.0,23.0,18.81,58.06,47.0,49,1,-,-,414.0,34.0,8.0,7.0,11.5,61.6,28.0,5,-,-,-,69.0,Female
Anjali Pendharker,26.0,5.0,8.0,27.25,-,81.0,-,-,2,-,218.0,43.0,19.0,19.0,16.75,-,47.0,-,-,-,-,268.0,,,,,,,,,,,,Female
Anjali Sarvani,,,,,,,,,,,,,,,,,,,,,,,68.0,6.0,2.0,6.0,42.85,4.0,-,-,-,-,6.0,Female
Anjali Sharma,,,,,,,,,,,,138.0,3.0,3.0,0.33,-,1.0,-,-,-,-,1.0,,,,,,,,,,,,Female
Anju Jain,12.0,8.0,12.0,36.75,-,110.0,-,-,3,1,441.0,9.0,65.0,65.0,29.81,-,90.0,-,-,12,-,1729.0,,,,,,,,,,,,Female
Anjum Chopra,9.0,12.0,20.0,30.44,-,98.0,-,-,4,-,548.0,4.0,127.0,112.0,31.38,-,100.0,-,-,18,1,2856.0,19.0,18.0,16.0,17.21,-,37.0,-,-,-,-,241.0,Female
Anuja Patil,,,,,,,,,,,,,,,,,,,,,,,11.0,50.0,35.0,17.54,108.73,54.0,43,1,1,-,386.0,Female
Anushka Sharma,,,,,,,,,,,,,,,,,,,,,,,33.0,3.0,3.0,24.0,102.85,28.0,9,-,-,-,72.0,Female
Arati Vaidya,32.0,3.0,6.0,27.8,-,39.0,-,-,-,-,139.0,53.0,6.0,6.0,27.0,45.63,77.0,14,-,1,-,162.0,,,,,,,,,,,,Female
Archana Das,,,,,,,,,,,,93.0,11.0,6.0,11.66,55.55,17.0,-,1,-,-,35.0,64.0,23.0,10.0,2.66,44.44,2.0,-,-,-,-,8.0,Female
Arunadhati Ghosh,33.0,8.0,12.0,13.4,-,41.0,-,-,-,-,134.0,63.0,11.0,11.0,15.42,-,45.0,-,-,-,-,108.0,,,,,,,,,,,,Female
Arundhati Kirkire,87.0,1.0,1.0,3.0,-,3.0,-,-,-,-,3.0,37.0,30.0,23.0,19.0,-,106.0,-,-,1,1,304.0,,,,,,,,,,,,Female
Arundhati Reddy,,,,,,,,,,,,82.0,11.0,7.0,9.66,63.73,14.0,2,-,-,-,58.0,24.0,54.0,24.0,8.76,94.3,27.0,15,1,-,-,149.0,Female
Asha Rawat,77.0,1.0,1.0,9.0,25,9.0,1,-,-,-,9.0,41.0,20.0,9.0,40.85,72.95,97.0,27,3,3,-,286.0,,,,,,,,,,,,Female
Babita Mandlik,,,,,,,,,,,,125.0,3.0,3.0,3.0,18.75,5.0,-,-,-,-,6.0,75.0,2.0,1.0,3.0,42.85,3.0,-,-,-,-,3.0,Female
Bareddy Anusha,,,,,,,,,,,,135.0,1.0,1.0,2.0,40,2.0,-,-,-,-,2.0,,,,,,,,,,,,Female
Bharti Fulmali,,,,,,,,,,,,,,,,,,,,,,,32.0,7.0,6.0,12.16,93.58,40.0,7,2,-,-,73.0,Female
Bindeshwari Goyal,89.0,3.0,3.0,0.5,-,1.0,-,-,-,-,1.0,136.0,4.0,1.0,0.0,25,1.0,-,-,-,-,1.0,,,,,,,,,,,,Female
Challuru Prathyusha,,,,,,,,,,,,134.0,1.0,1.0,2.0,66.66,2.0,-,-,-,-,2.0,,,,,,,,,,,,Female
Chanderkanta Kaul,16.0,5.0,9.0,35.33,-,75.0,-,-,3,-,318.0,22.0,31.0,29.0,23.69,-,80.0,-,-,3,-,616.0,,,,,,,,,,,,Female
Dayalan Hemalatha,,,,,,,,,,,,65.0,12.0,8.0,12.12,58.08,35.0,7,3,-,-,97.0,17.0,23.0,21.0,16.23,111.74,47.0,28,8,-,-,276.0,Female
Deepa Madhukar Marathe,47.0,5.0,6.0,11.16,-,40.0,-,-,-,-,67.0,66.0,59.0,26.0,7.38,-,21.0,-,-,-,-,96.0,,,,,,,,,,,,Female
Deepti Sharma,15.0,6.0,10.0,47.85,42.62,78.0,44,1,4,-,335.0,5.0,124.0,106.0,35.98,70.43,188.0,263,19,18,1,2771.0,7.0,149.0,96.0,22.67,107.26,64.0,115,8,2,-,1270.0,Female
Devika Palshikar,80.0,1.0,2.0,3.5,7.52,6.0,-,-,-,-,7.0,79.0,15.0,9.0,13.2,67.34,22.0,4,-,-,-,66.0,,,,,,,,,,,,Female
Devika Vaidya,,,,,,,,,,,,51.0,12.0,9.0,25.57,67.29,89.0,21,-,1,-,179.0,30.0,17.0,8.0,22.5,98.9,32.0,7,1,-,-,90.0,Female
Diana David,,,,,,,,,,,,85.0,15.0,11.0,4.72,36.87,24.0,4,-,-,-,52.0,51.0,13.0,7.0,3.0,65.21,7.0,-,-,-,-,15.0,Female
Diana Edulji,13.0,20.0,30.0,16.16,-,57.0,-,-,1,-,404.0,48.0,34.0,30.0,8.79,-,25.0,-,-,-,-,211.0,,,,,,,,,,,,Female
Ekta Bisht,,,,,,,,,,,,52.0,63.0,36.0,8.19,63.46,18.0,15,-,-,-,172.0,40.0,42.0,14.0,5.0,66.66,15.0,2,1,-,-,40.0,Female
Fowzieh Khalili,14.0,8.0,15.0,26.69,-,84.0,-,-,3,-,347.0,45.0,13.0,13.0,19.84,-,88.0,-,-,1,-,258.0,,,,,,,,,,,,Female
Gargi Banerji,6.0,12.0,22.0,27.9,-,75.0,-,-,6,-,614.0,31.0,26.0,26.0,15.73,-,61.0,-,-,2,-,409.0,,,,,,,,,,,,Female
Gouher Sultana,,,,,,,,,,,,67.0,50.0,23.0,10.66,30.86,22.0,6,-,-,-,96.0,66.0,37.0,5.0,6.0,75,3.0,-,-,-,-,6.0,Female
Gunalan Kamalini,,,,,,,,,,,,,,,,,,,,,,,56.0,1.0,1.0,12.0,100,12.0,2,-,-,-,12.0,Female
Harleen Deol,,,,,,,,,,,,13.0,38.0,35.0,32.24,76.49,115.0,112,7,4,1,1064.0,16.0,28.0,20.0,17.27,92.01,52.0,37,1,1,-,311.0,Female
Harmanpreet Kaur,25.0,7.0,11.0,23.0,57.07,69.0,27,-,1,-,230.0,3.0,164.0,143.0,37.22,76.86,171.0,448,57,24,7,4541.0,2.0,202.0,181.0,30.33,-,103.0,-,-,18,1,4216.0,Female
Hemlata Kala,10.0,7.0,10.0,50.3,-,110.0,-,-,3,2,503.0,14.0,78.0,59.0,20.87,-,65.0,-,-,3,-,1023.0,71.0,1.0,1.0,0.0,62.5,5.0,-,-,-,-,5.0,Female
Jaya Sharma,70.0,1.0,1.0,24.0,32,24.0,2,-,-,-,24.0,7.0,77.0,75.0,30.75,-,138.0,-,-,14,2,2091.0,72.0,1.0,1.0,5.0,100,5.0,1,-,-,-,5.0,Female
Jemimah Rodrigues,17.0,4.0,7.0,50.16,65.86,73.0,45,-,4,-,301.0,8.0,62.0,59.0,34.15,90.31,127.0,198,5,8,3,1810.0,4.0,131.0,118.0,29.41,119,76.0,319,28,16,-,2824.0,Female
Jhulan Goswami,18.0,12.0,15.0,24.25,-,69.0,-,-,2,-,291.0,10.0,204.0,121.0,14.61,-,57.0,-,-,1,-,1228.0,10.0,68.0,46.0,10.94,-,37.0,-,-,-,-,405.0,Female
Jyotsna Patel,84.0,2.0,2.0,2.0,-,2.0,-,-,-,-,4.0,,,,,,,,,,,,,,,,,,,,,,,Female
Kalpan Paropkari,,,,,,,,,,,,102.0,3.0,3.0,7.66,-,13.0,-,-,-,-,23.0,,,,,,,,,,,,Female
Kalyani Dhokarikar,69.0,1.0,2.0,25.0,-,21.0,-,-,-,-,25.0,99.0,8.0,6.0,4.8,28.23,11.0,1,-,-,-,24.0,,,,,,,,,,,,Female
Kanika Ahuja,,,,,,,,,,,,,,,,,,,,,,,50.0,3.0,2.0,16.0,114.28,15.0,1,-,-,-,16.0,Female
Karu Jain,27.0,5.0,9.0,21.66,33.21,40.0,27,-,-,-,195.0,15.0,44.0,40.0,29.02,51.37,103.0,114,-,9,1,987.0,62.0,9.0,3.0,4.5,42.85,8.0,-,-,-,-,9.0,Female
Kashvee Gautam,62.0,1.0,2.0,34.0,58.62,34.0,3,-,-,-,34.0,71.0,6.0,5.0,22.5,92.78,43.0,8,3,-,-,90.0,60.0,3.0,1.0,10.0,125,10.0,-,1,-,-,10.0,Female
Kiran Prabhu Navgire,,,,,,,,,,,,,,,,,,,,,,,49.0,6.0,4.0,5.66,89.47,10.0,2,-,-,-,17.0,Female
Kranti Gaud,90.0,1.0,2.0,1.0,16.66,1.0,-,-,-,-,1.0,90.0,17.0,9.0,8.8,70.96,19.0,5,-,-,-,44.0,48.0,14.0,4.0,8.5,130.76,12.0,2,1,-,-,17.0,Female
Latika Kumari,,,,,,,,,,,,,,,,,,,,,,,37.0,6.0,6.0,10.16,63.54,36.0,7,-,-,-,61.0,Female
Laya Francis,81.0,4.0,4.0,1.5,13.95,4.0,-,-,-,-,6.0,114.0,11.0,5.0,2.6,-,6.0,-,-,-,-,13.0,,,,,,,,,,,,Female
Lopamudra Bhattacharj,79.0,1.0,1.0,7.0,-,7.0,-,-,-,-,7.0,92.0,15.0,12.0,4.44,-,14.0,-,-,-,-,40.0,,,,,,,,,,,,Female
Madhuri Mehta,,,,,,,,,,,,97.0,2.0,2.0,12.5,39.06,23.0,1,-,-,-,25.0,46.0,3.0,2.0,11.5,62.16,23.0,3,-,-,-,23.0,Female
Mamatha Kanojia,,,,,,,,,,,,81.0,7.0,4.0,15.25,49.19,30.0,5,1,-,-,61.0,59.0,4.0,3.0,3.33,-,6.0,-,-,-,-,10.0,Female
Mamatha Maben,35.0,4.0,4.0,31.25,-,50.0,-,-,1,-,125.0,32.0,40.0,30.0,17.95,-,53.0,-,-,1,-,359.0,,,,,,,,,,,,Female
Manimala Singhal,38.0,6.0,10.0,14.5,-,44.0,-,-,-,-,116.0,117.0,6.0,4.0,3.0,-,5.0,-,-,-,-,12.0,,,,,,,,,,,,Female
Manju Nadgoda,,,,,,,,,,,,140.0,1.0,1.0,1.0,7.69,1.0,-,-,-,-,1.0,,,,,,,,,,,,Female
Mansi Joshi,,,,,,,,,,,,107.0,14.0,4.0,6.66,62.5,12.0,2,-,-,-,20.0,67.0,8.0,3.0,0.0,31.57,3.0,-,-,-,-,6.0,Female
Meghna Singh,88.0,1.0,1.0,0.0,33.33,2.0,-,-,-,-,2.0,94.0,17.0,8.0,11.0,67.34,12.0,4,-,-,-,33.0,80.0,9.0,2.0,0.5,50,1.0,-,-,-,-,1.0,Female
Minnu Mani,,,,,,,,,,,,84.0,3.0,2.0,54.0,96.42,46.0,5,-,-,-,54.0,69.0,4.0,2.0,6.0,120,5.0,1,-,-,-,6.0,Female
Minoti Desai,52.0,1.0,2.0,28.0,-,54.0,-,-,1,-,56.0,,,,,,,,,,,,,,,,,,,,,,,Female
Mithali Raj,4.0,12.0,19.0,43.68,39.90,214.0,86,-,4,1,699.0,1.0,232.0,211.0,50.68,67.54,125.0,805,19,64,7,7805.0,5.0,89.0,84.0,37.52,97.45,97.0,240,13,17,-,2364.0,Female
Mithu Mukherjee,45.0,4.0,8.0,10.85,-,28.0,-,-,-,-,76.0,,,,,,,,,,,,,,,,,,,,,,,Female
Mona Meshram,,,,,,,,,,,,33.0,26.0,21.0,18.52,53.74,78.0,38,4,3,-,352.0,26.0,11.0,9.0,17.85,78.61,32.0,8,-,-,-,125.0,Female
Monica Patel,,,,,,,,,,,,116.0,2.0,2.0,6.5,37.14,9.0,1,-,-,-,13.0,,,,,,,,,,,,Female
Monica Sumra,50.0,3.0,6.0,10.16,16.13,29.0,6,-,-,-,61.0,38.0,14.0,12.0,27.63,51.35,63.0,31,-,3,-,304.0,,,,,,,,,,,,Female
Neeta Kadam,86.0,1.0,1.0,3.0,-,3.0,-,-,-,-,3.0,110.0,2.0,1.0,17.0,-,17.0,-,-,-,-,17.0,,,,,,,,,,,,Female
Neetu David,68.0,10.0,11.0,6.25,-,11.0,-,-,-,-,25.0,76.0,97.0,30.0,4.93,36.27,18.0,5,-,-,-,74.0,,,,,,,,,,,,Female
Neha Tanwar,,,,,,,,,,,,87.0,5.0,5.0,9.4,32.41,19.0,7,-,-,-,47.0,47.0,2.0,2.0,9.5,46.34,17.0,1,-,-,-,19.0,Female
Nilima Jogalekar,29.0,5.0,9.0,18.44,-,41.0,-,-,-,-,166.0,50.0,20.0,20.0,11.35,-,38.0,-,-,-,-,193.0,,,,,,,,,,,,Female
Niranjana Nagarajan,67.0,2.0,1.0,27.0,32.53,27.0,4,-,-,-,27.0,77.0,22.0,12.0,8.75,64.22,12.0,9,-,-,-,70.0,38.0,14.0,8.0,7.0,110.52,15.0,5,-,-,-,42.0,Female
Nooshin Al Khadeer,56.0,5.0,7.0,9.2,23.83,16.0,6,-,-,-,46.0,55.0,78.0,27.0,8.05,48.88,21.0,16,-,-,-,153.0,,,,,,,,,,,,Female
Nuzhat Parween,,,,,,,,,,,,,,,,,,,,,,,81.0,5.0,1.0,1.0,33.33,1.0,-,-,-,-,1.0,Female
Pooja Vastrakar,39.0,5.0,6.0,27.75,35.35,47.0,20,-,-,-,111.0,23.0,33.0,28.0,25.43,87.05,67.0,51,11,4,-,585.0,15.0,72.0,43.0,13.83,114.48,37.0,34,5,-,-,332.0,Female
Poonam Yadav,,,,,,,,,,,,68.0,58.0,21.0,7.91,41.66,15.0,9,-,-,-,95.0,52.0,72.0,11.0,2.8,60.86,4.0,-,-,-,-,14.0,Female
Pramila S Bhatt,37.0,5.0,7.0,24.6,-,42.0,-,-,-,-,123.0,59.0,22.0,15.0,12.36,-,33.0,-,-,-,-,136.0,,,,,,,,,,,,Female
Pratika Rawal,44.0,1.0,2.0,40.5,45,63.0,11,-,1,-,81.0,12.0,27.0,26.0,47.56,82.34,154.0,141,10,8,2,1189.0,,,,,,,,,,,,Female
Preeti Bose,,,,,,,,,,,,,,,,,,,,,,,77.0,5.0,1.0,0.0,33.33,2.0,-,-,-,-,2.0,Female
Preeti Dimri,73.0,2.0,3.0,19.0,38,19.0,4,-,-,-,19.0,100.0,23.0,5.0,11.5,74.19,12.0,2,1,-,-,23.0,,,,,,,,,,,,Female
Prema Rawat,,,,,,,,,,,,,,,,,,,,,,,76.0,1.0,1.0,0.0,150,3.0,-,-,-,-,3.0,Female
Priya Mishra,,,,,,,,,,,,124.0,9.0,4.0,3.0,20,5.0,-,-,-,-,6.0,,,,,,,,,,,,Female
Priya Punia,,,,,,,,,,,,42.0,12.0,11.0,27.3,57.11,75.0,31,1,2,-,273.0,63.0,3.0,3.0,3.0,52.94,4.0,1,-,-,-,9.0,Female
Priyanka Roy,,,,,,,,,,,,35.0,27.0,22.0,16.65,51.38,69.0,34,-,1,-,333.0,28.0,15.0,10.0,10.55,87.15,22.0,8,-,-,-,95.0,Female
Punam Raut,19.0,4.0,7.0,44.0,32.91,130.0,33,-,-,1,264.0,6.0,73.0,73.0,34.83,58.26,109.0,261,6,15,3,2299.0,9.0,35.0,31.0,27.65,92.17,75.0,81,-,4,-,719.0,Female
Purnima Choudhary,,,,,,,,,,,,108.0,5.0,4.0,20.0,66.66,11.0,1,-,-,-,20.0,,,,,,,,,,,,Female
Purnima Rau,36.0,5.0,8.0,15.37,-,33.0,-,-,-,-,123.0,26.0,33.0,27.0,21.5,-,67.0,-,-,2,-,516.0,,,,,,,,,,,,Female
Radha Yadav,,,,,,,,,,,,64.0,14.0,8.0,17.5,86.77,48.0,10,-,-,-,105.0,29.0,91.0,26.0,5.47,95.87,14.0,5,1,-,-,93.0,Female
Raghvi Anand Singh Bist,,,,,,,,,,,,,,,,,,,,,,,42.0,2.0,2.0,36.0,120,31.0,2,1,-,-,36.0,Female
